gen,sA,sB,sRail,pRail,Tmax,DeltaT
1,0.783677242663144,0.8545183914525047,0.673644607064658,0.3537740139252413,1.490800464511662,0.7466327118111037
1,1.0,1.0,0.7405395761847486,0.11023149214062632,1.4596277847833168,0.8764404521071345
1,0.3159051293291687,1.0,1.0,0.2009857226418148,1.8460837677808417,0.6247580117917828
1,0.8916893603356695,0.8568614776571877,0.5793064677861063,0.09446264975906668,1.808177889123803,1.1541526662751103
1,0.5498361395478149,1.0,0.23754518888579246,0.45400017791158653,1.9504425679628894,0.8897859645640545
1,0.26054442982221304,0.7244564210851584,0.19379033159338654,0.34399747263235514,2.9787995614979623,0.7404583641099536
1,0.5199721155514503,0.7146636853409292,0.5164943023740755,0.1345145813575476,2.0440394351687763,0.9224651916743862
1,0.33668987329609845,0.516552597329104,0.29580816468000537,0.43893714009139956,2.6298032549524084,0.8976830524110884
1,0.9797415207093514,0.9617539188491828,0.43600672171361454,0.09453233660056001,2.0684027092238315,1.473156595491829
1,0.5783977892750313,0.46855568699282735,0.8698699146668523,0.13883503736290212,2.0987200178800034,1.090439310268619
1,0.62855275493622,0.5044747049829669,0.680714172433823,0.45400017791158653,2.174857166793102,1.2470315741891511
1,0.5776463815423069,0.49022237530935125,0.49449670884394425,0.3362530779457306,2.410698683645321,1.4011063952063691
1,0.7703163447655443,0.37159461528543397,0.29189346785079573,0.41882583243521654,3.3483117605008528,2.591236649132425
1,0.8335230241478734,0.5568234372080907,0.31502456514045274,0.0,3.3034488337633316,2.6037832988419565
1,0.6568933258786206,0.5846255723821469,0.17184198448583038,0.3363157961030746,3.521087992048665,2.633291892748162
1,0.5886838876000478,0.90370209941624,0.10710534471448269,0.4020386611569417,3.747744489384767,2.757081512950588
1,0.10928901434754093,0.7628151135248857,0.13620487539290776,0.2850028740181102,5.336193499454854,1.263610656367483
1,0.05,0.39152492758231494,1.0,0.3350988371322704,11.663746431912465,9.20373445970062
