Ejecución,Tmax,Tiempo (s),Iteración óptima,Eficiencia,sA,sB,sRail,pRail,pA_x,pA_y,pA_z,pB_x,pB_y,pB_z
15,1.7164823390906552,0.820563793182373,40,2.0918328999548743,0.23637970845135134,0.5236365170128585,0.591766920353797,0.2643466004183921,0.3464736559345831,0.2030112955468314,0.05804018288439161,0.5464736559345831,0.2030112955468314,0.05804018288439161
16,1.6200799627880054,0.7287170886993408,54,2.2231946909322846,0.4972191704805515,0.9440413271540506,0.645198391009274,0.3051994535121688,0.27745269166500464,-0.10638992268465042,0.7487239340129631,0.47745269166500465,-0.10638992268465042,0.7487239340129631
17,1.160503809802091,2.3844878673553467,101,0.48668891366145406,0.26782944201758224,0.8572197005082516,0.8365413545007209,0.21100963310072018,0.28380654004183437,-0.040145422487760096,0.1201414047405095,0.4838065400418344,-0.040145422487760096,0.1201414047405095
18,1.5995806779062902,1.6084012985229492,139,0.9945159080480976,0.14850336627802846,0.5973148579559794,0.7930258330796057,0.20548451291367284,0.19015285015566794,-0.03579677297464645,0.13778119254066346,0.3901528501556679,-0.03579677297464645,0.13778119254066346
19,1.40171208199721,0.9951679706573486,57,1.4085180827024835,0.36795011904096453,0.6209466618941265,0.9350539605591335,0.31749164392579066,0.36808652148123966,-0.22038055550226077,0.2862581666454509,0.5680865214812396,-0.22038055550226077,0.2862581666454509
20,1.5063220870127978,1.0274901390075684,133,1.4660209668461863,0.26934808858489334,0.6796751040921358,0.528791394869918,0.2755571560027388,0.3739405491488564,0.15611819885441303,0.01999615176029157,0.5739405491488564,0.15611819885441303,0.01999615176029157
21,1.8658572656442276,0.7344160079956055,130,2.5405999397216195,0.42522368550672424,0.7315195357700096,0.6283159921895746,0.26715353539781683,0.34017698651695344,0.0732674344444394,0.7130152037019648,0.5401769865169535,0.0732674344444394,0.7130152037019648
22,1.9148745601608672,1.9136395454406738,35,1.0006453747902189,0.2168075082375872,0.6435768425185676,0.6003176136623907,0.14534127667245317,0.17914199832243274,0.20192375430187415,0.31540277970389663,0.3791419983224328,0.20192375430187415,0.31540277970389663
23,1.5241487431069565,1.029930591583252,24,1.4798557840329531,0.3290394263097836,0.6112234518509216,0.5559997664110211,0.2774092290801091,0.4338835587243726,-0.02658294927447702,0.2500913812137098,0.6338835587243726,-0.02658294927447702,0.2500913812137098
24,1.6795598602005302,1.525456428527832,73,1.1010211952244473,0.277902177559086,0.7916403759391271,0.366218528344487,0.3645942569467418,0.37660575860629286,0.12839060117361867,0.24401360701577113,0.5766057586062929,0.12839060117361867,0.24401360701577113
25,1.2508420317273363,1.5279202461242676,85,0.8186566248468992,0.2868510378390249,1.0,0.8342103554004836,0.2728019216873213,0.1581225050409824,0.04833921940188812,0.31843659112978717,0.3581225050409824,0.04833921940188812,0.31843659112978717
26,1.8929754009248785,1.2634055614471436,71,1.498311752527515,0.3137529251816403,0.6948079814932294,0.5752210368026395,0.1877909128319854,0.2791294853749927,-0.3642477051801905,0.3770237632195984,0.4791294853749927,-0.3642477051801905,0.3770237632195984
27,1.715901529638599,1.8759288787841797,134,0.9146943410512999,0.4065263147277363,0.845438250862664,0.6066344846580916,0.25787588065469474,0.2741326082735091,0.2432301238023784,0.593531090686124,0.4741326082735091,0.2432301238023784,0.593531090686124
28,1.7662155112354334,1.9195671081542969,139,0.9201113645532746,0.2558043831295558,0.6175075715147659,0.43421924287804997,0.2681431806690761,0.3950874413874389,0.17068517577943987,0.13748035807941317,0.595087441387439,0.17068517577943987,0.13748035807941317
29,1.8049209591839073,1.5160832405090332,82,1.1905157388178074,0.3128361919693219,0.4383893286942544,0.4916531442469645,0.34853874816293334,0.4995905086926199,0.09677631624352889,0.24461615039118856,0.69959050869262,0.09677631624352889,0.24461615039118856
30,1.4652605386330975,0.9892904758453369,99,1.4811226575097165,0.24578621120191294,0.7378596929080078,0.6511607649043389,0.16549045162529313,0.29038869256897515,0.09128979490569411,0.19244655130184984,0.49038869256897516,0.09128979490569411,0.19244655130184984
